"Species","CommonName_new","Status","Locality"
"nigripes"," Black-Footed Ferret","Endangered","Burchell (1824:509) implied the country of the ""Bachapins"", presumably in the capital, ""the town of Litkun (Letrkoon)...276'44"". [S]...2439'27""[E]"" [South Africa]."
"nigripes"," Black-Footed Ferret","XN","Burchell (1824:509) implied the country of the ""Bachapins"", presumably in the capital, ""the town of Litkun (Letrkoon)...276'44"". [S]...2439'27""[E]"" [South Africa]."
"canadensis"," Canada [Contiguous U.S. Dps] Lynx","Threatened","""Canada""; listed in Miller (1912<i>a</i>) as ""Eastern Canada""."
"rufus"," Red Wolf","Endangered","""Provinz New York in Amerika""."
"rufus"," Red Wolf","XN","""Provinz New York in Amerika""."
"viverrinus"," Eastern Native-Cat","Endangered","""from the continent of India""."
"concolor"," Pagi Island Langur","Endangered","""Brassilia"", restricted by Goldman (<i>In</i> Young and Goldman, 1946:200) to ""Cayenne region, French Guiana""."
"nebulosa"," Clouded Leopard","Endangered","""brought from Canton"" [China, Guangdong: Guangzhou]."
"onca","Jaguar","Endangered","""America meridionali"", fixed by Thomas (1911<i>a</i>:136) as ""Pernambuco"" [Brazil]."
"pardus","Leopard","Endangered","""Indiis"", fixed by Thomas (1911<i>a</i>:135), as ""Egypt""; see discussion by Pocock (1930)."
"pardus","Leopard [Southern Africa populations]","Threatened","""Indiis"", fixed by Thomas (1911<i>a</i>:135), as ""Egypt""; see discussion by Pocock (1930)."
"tigris","Tiger","Endangered","""Asia"", fixed by Thomas (1911<i>a</i>:135) as ""Bengal"" [India]."
"pardicolor"," Spotted Linsang","Endangered","""Sikim. . . Sub-Hemalayan mountains"". [India]."
"concolor"," Pagi Island Langur","Endangered","""Madagascar""."
"nigripes"," Black-Footed Cat","Endangered","""Gubon"" [Gabon]."
"nigripes"," Black-Footed Ferret","Endangered","""Gubon"" [Gabon]."
"nigripes"," Black-Footed Ferret","XN","""Gubon"" [Gabon]."
"penicillata"," Brush-Tailed Rat-Kangaroo","Endangered","""du Cap"", restricted by Roberts (1951:151) to ""Uitenhage, C.P."" [South Africa]."
"brachyurus","Quokka","Endangered","""Indian Islands"", restricted by Kloss (1917) to ""Borneo"", however, Thomas (1921<i>c</i>) believed it to be from ""Malacca"". Pocock (1941<i>a</i>) believed the type to represent a ""Malayan Race""."
"brachyurus"," Maned Wolf","Endangered","""Indian Islands"", restricted by Kloss (1917) to ""Borneo"", however, Thomas (1921<i>c</i>) believed it to be from ""Malacca"". Pocock (1941<i>a</i>) believed the type to represent a ""Malayan Race""."
"javanicus","Banteng","Endangered","""Java""."
"lupus"," Gray Wolf","Endangered","""Europ sylvis, etjam frigidioribus"", restricted by Thomas (1911<i>a</i>) to ""Sweden""."
"lupus"," Gray [Mn Dps] Wolf","Threatened","""Europ sylvis, etjam frigidioribus"", restricted by Thomas (1911<i>a</i>) to ""Sweden""."
"simensis"," Simien Fox","Endangered","""Wir beobachteten diesen wolfsartigen Hund in den Bergen von Simen..."" [Ethiopia, mountains of Simen]."
"brachyurus","Quokka","Endangered","Listed by Cabrera (1957) as ""los esteros del Paraguay."""
"brachyurus"," Maned Wolf","Endangered","Listed by Cabrera (1957) as ""los esteros del Paraguay."""
"alpinus","Dhole","Endangered","""Udskoi Ostrog""; reported in Honacki et al. (1982) as ""U.S.S.R., Amurskaya Obl., Udskii-Ostrog."""
"australis"," Southern Right Whale","Endangered","""America and Falkland islands."""
"pictus"," African Wild Dog","Endangered",""" la cte de Mosambique"" [Mozambique]."
"melanoleuca"," Giant Panda","Endangered","""Mou-pin"" [China, Sichuan Sheng, Baoxing (=Moupin) 3023'N, 10250'E]."
"arctos"," Mexican Grizzly Bear","Endangered","""sylvis Europ frigid"" restricted by Thomas (1911<i>a</i>) to ""Northern Sweden."""
"maritimus"," Polar Bear","Threatened","""on the main land of Spitsbergen"" [Norway]."
"australis"," Southern Right Whale","Endangered","Zimmermann (1783) based the name on the ""Falkland Isle Seal"" of Pennant (1781), and added that it ""Wohnt um Juan Fernandez, und ber haupt in dortigen Meeren."" [Falkland Isls, UK]."
"gazella"," Arabian Gazelle","Endangered","""von Seehunden aus Kerguelenland"". Restriced by Scheffer (1958) to ""Anse Betsy (4909'S, 7011'E)."""
"townsendi"," Guadalupe Fur Seal","Threatened","""Guadalupe Island, off Lower California. . . collected on the beach on west side of Guadalupe."" [Mexico]"
"jubatus","Cheetah","Endangered","""...Aufenthalt in dem nrdlichen Theil des stillen Meeres...westlichen Kste von Amerika... stlichen von Kamtschatka...Inseln...Ksten unter dem 56ten Grade der Breite liegen."" [N part of the Pacific. Russia, Commander and Bering Isls]."
"jubatus"," Steller [Western Dps] Sea Lion","Endangered","""...Aufenthalt in dem nrdlichen Theil des stillen Meeres...westlichen Kste von Amerika... stlichen von Kamtschatka...Inseln...Ksten unter dem 56ten Grade der Breite liegen."" [N part of the Pacific. Russia, Commander and Bering Isls]."
"monachus"," Mediterranean Monk Seal","Endangered","""Dalmation Sea at Ossero."" [Serbia and Montenegro] King (1956)."
"largha"," Spotted [Southern Dps] Seal","Threatened","""quam quod observetur tantum ad orientale littus Camtschatcae"" [Eastern coast of Kamchatka, Russia (Shaughnessy and Fay, 1977)]."
"canadensis"," Canada [Contiguous U.S. Dps] Lynx","Threatened","""Der Fischotter ...Europa berall gemein... Einwohner des nordlichen Theils von Asien, bis nach Kamatschatka hinaus, und ...Persian hinunter, und von Nordamerika."" Miller (1912b:113) listed the type locality as ""Eastern Canada""."
"brasiliensis"," Giant Otter","Endangered","""in fluviis americae meridionalis""; Cabrera (1957:274) restricted to ""ri So Francisco, en la orilla correspondiente al estado de Alagoas"", Brazil."
"africana"," African Elephant","Threatened","""Africa"", type locality is in error, fixed by Cabrera (1957) as ""arrabales de Belem, la antigua Par."" [Brazil]"
"nigripes"," Black-Footed Cat","Endangered","""lower waters of the Platte River"", restricted by Hayden (1863:138) to ""Fort Laramie"" [Wyoming, USA]."
"nigripes"," Black-Footed Ferret","Endangered","""lower waters of the Platte River"", restricted by Hayden (1863:138) to ""Fort Laramie"" [Wyoming, USA]."
"nigripes"," Black-Footed Ferret","XN","""lower waters of the Platte River"", restricted by Hayden (1863:138) to ""Fort Laramie"" [Wyoming, USA]."
"nivalis"," Mexican Long-Nosed Bat","Endangered","""Westrobothnia"" [Sweden]."
"pygmaeus"," Lesser Slow Loris","Threatened","""Cozumel Island, Yucatan"" [Mexico]."
"pygmaeus","Orangutan","Endangered","""Cozumel Island, Yucatan"" [Mexico]."
"grevyi"," Grevy'S Zebra","Threatened","Described as ""region de l'Afrique orientale qu'on appelle le pays des Gallas"", i.e. Ethiopia, Gallaland, Shoa Prov. (Rzasnicki, 1951), restricted to Awash Valley (Yalden et al., 1986)."
"hemionus"," Asian Wild Ass","Endangered","""ad Lacum Tarei Dauuriae"", i.e. Russia, Transbaikalia, S Chitinsk. Obl., Tarei-Nor, 50N, 115E."
"bairdii"," Central American Tapir","Endangered","""Isthmus of Panama"", restricted to Panama, Canal Zone by Hershkovitz (1954)."
"indicus"," Asian Tapir","Endangered","""la presqu'ile de Malacca"", i.e. Malaysia, Malay Peninsula."
"pinchaque"," Mountain Tapir","Endangered","""une journe de cette ville [Bogota], dans le <i>Paramo</i> de <i>Suma-Paz</i>,"" i.e., Colombia, Cundinamarca, Pramo de Sumapaz."
"terrestris"," South American (=Brazilian) Tapir","Endangered","""Habitat in Brasilia"", i.e., Brazil, Pernambuco."
"sumatrensis"," Sumatran Rhinoceros","Endangered","""Sumatra"", now known to be Indonesia, Sumatra, Bencoolen (= Bintuhan) Dist., Fort Marlborough (Groves, 1967c)."
"bicornis"," Black Rhinoceros","Endangered","""Habitat in India"", now identified as South Africa, Western Cape Prov., Cape of Good Hope."
"sondaicus"," Javan Rhinoceros","Endangered","""Sumatra"" (Indonesia), later corrected to ""Java"" (Indonesia)."
"unicornis"," Great Indian Rhinoceros","Endangered","""Habitat in Africa, India"", now identified as India, Assam, Terai."
"babyrussa","Babirusa","Endangered","""Habitat in Borneo Indiae orientalis""; identified as ""Island of Boero"" by Thomas (1911<i>a</i>) (Indonesia, Buru Isl)."
"africanus"," African Wild Ass","Endangered","""Habitat in Africa a capite viridi ad caput bonae spei""; restricted to Senegal, ""Cape Verd [Verde]"" (Lydekker, 1915:373)."
"larvatus"," Proboscis Monkey","Endangered","""Madagascar"" (no precise locality) here selected."
"salvanius"," Pygmy Hog","Endangered","""Habitat, Saul forest"" but no locality given; N India, ""Sikhim Tarai [Sikkim Terai]  The moist forest-tract at the base of the eastern Himalaya"" (Lydekker, 1915:343)."
"bactrianus"," Bactrian Camel","Endangered","""Habitat in Africa""; identified as ""Bactria"" (Uzbekistan, Bokhara) by Thomas (1911<i>a</i>:150); based on domesticated stock."
"vicugna"," Bolivia, Chile And Peru] Vicuna [Argentina","Threatened","Chile, ""abondano nella parte della Cordigliera spettante alle Provincie de Coquimbo, e di Copiap"" (cordilleras of Coquimbo and Copiapo)."
"vicugna","Vicuna [Ecuador DPS]","Endangered","Chile, ""abondano nella parte della Cordigliera spettante alle Provincie de Coquimbo, e di Copiap"" (cordilleras of Coquimbo and Copiapo)."
"javanicus","Banteng","Endangered","Indonesia, W Java, Udjung Kulon Peninsula, ""Nieu Bay"" (Meeuwenbaai or Muara Tjikuja), Jankolan (Djungkulan) kampong; identified by Van Bemmel (1949<i>b</i>) and Hoogerwerf (1970:353)."
"dichotomus"," Marsh Deer","Endangered","No locality given; based on the gouazoupoukou of Azara; restricted to Paraguay, Lake Ypo, south of Asuncion (Cabrera, 1961:329)."
"antisensis"," North Andean Huemul","Endangered","""du versant oriental des Cordillieres""; Bolivian Andes, near La Paz, at about 3,500 m (Cabrera, 1961:333)."
"bisulcus"," South Andean Huemul","Endangered","Chile, ""delle Andi [Andes]""; restricted to Colchagua Prov. (Cabrera, 1961:334)."
"nana"," Dwarf Hutia","Endangered","Brazil, ""Ro Grande do Sul""."
"hemionus"," Asian Wild Ass","Endangered","USA, South Dakota, mouth of Big Sioux River (Bailey, 1926:41)."
"bezoarticus"," Pampas Deer","Endangered","""Habitat in America australis""; identified as Brazil, Pernambuco (Thomas, 1911<i>a</i>:151)."
"dama"," Dama Gazelle","Endangered","""Habitat in Europa""; identified as ""Habitat in vivariis Regis &amp; Magnatum"" by Thomas (1911<i>a</i>:151), in Sweden to which it had been introduced."
"feae"," Fea'S Muntjac","Endangered","Burma, ""Thagat Juva, a S. E. del Monte Mooleyit [= Mt. Mulaiyit], Tenasserim""."
"alfredi"," Visayan Deer","Endangered","""transmitted  from Singapore  Hab. Malayan peninsula, or adjoining islands (?)""; ""Philippines, the type specimen having been received from Manila"" (Lydekker, 1915:63)."
"clarkei"," Clark'S Gazelle","Endangered","""Northern Somali-land""; according to the collector Clarke (<i>in</i> Sclater and Thomas, 1898:220), ""about three hours from 'Bairwell' or about one day from 'Buroa Well, Habergerhagi's country'"" (N Somalia, vicinity of Burao and Ber)."
"cuvieri"," Mountain (=Cuvier'S) Gazelle","Endangered","Morocco, ""Mogadore"" (Mogador)."
"gazella"," Arabian Gazelle","Endangered","No locality cited; based on ""La Gazelle"" of Buffon, from ""Syri"" (Syria)."
"leptoceros"," Slender-Horned Gazelle","Endangered","""rapports du Sennaar [Sudan, Sennar] par M. Burton""; corrected to ""desert between Giza and Wadi Natron, lower Egypt, as the type-specimen was brought to Paris by James Burton, circa 1833"" (Flower, 1932:438)."
"dama"," Dama Gazelle","Endangered","No locality cited; based on ""Le Nanguer"" of Buffon from ""Sngal""; see discussion in Harper (1940)."
"pygmaeus"," Lesser Slow Loris","Threatened","""Habitat in Guinea, India""; restricted to ""Guinea"" (West Africa) by Thomas (1911<i>a</i>:152)."
"pygmaeus","Orangutan","Endangered","""Habitat in Guinea, India""; restricted to ""Guinea"" (West Africa) by Thomas (1911<i>a</i>:152)."
"przewalskii"," Przewalski'S Horse","Endangered","China, ""im sdlichen Ordos"" (S Ordos desert); Groves (1967:149) stated that the type locality is the Chagrin Gol (or Steppe)."
"campestris"," Desert (=Plain) Rat-Kangaroo","Endangered","No locality cited; South Africa by implication; since restricted to Cape Colony (Lydekker, 1914<i>a</i>:148) or Cape of Good Hope (G. M. Allen, 1939:502); since selected as Western Cape Prov., Malmesbury Div., Swartland (Grubb, 1999:23)."
"borealis"," Sei Whale","Endangered","Russia, Siberia, Yakutsia, River Wiljui or Vilyuy."
"borealis"," Sei Whale","Endangered","Russia, Siberia, Yakutsia, River Wiljui or Vilyuy."
"javanicus","Banteng","Endangered","Indonesia, Java."
"sauveli","Kouprey","Endangered","""Nord Cambodge"" (Cambodia, near Tchep Village)."
"depressicornis"," Lowland Anoa","Endangered","Indonesia, ""Island of Celebes"" (Sulawesi)."
"mindorensis","Tamaraw","Endangered","Philippines, ""l'ile de Mindoro""."
"quarlesi"," Mountain Anoa","Endangered","Indonesia, Sulawesi, ""des bois des hautes montagnes de la rgion centrale de Toradja""."
"walie"," Walia Ibex","Endangered","""die hchsten felsigten Gebirge Abyssiniens  in den Provinzen Simen und Godjam""; restricted to Ethiopia, mountains of Simien (Lydekker, 1913:156)."
"jayakari"," Arabian Tahr","Endangered","Oman, ""Jebel Taw, Jebel Akhdar Range""."
"goral","Goral","Endangered","""a native of the Himalayah range and the mountains of the Nepaul frontier"" (Nepal, Himalayas)."
"ammon"," Mongolia, And Tajikistan] Argali [All Populations Except Kyrgyzstan","Endangered","""Habitat in Siberia""; since identified as Kazakhstan, Vostochno-Kazakhstansk. Obl., Altai Mtns, Bukhtarma; near Ust-Kamenogorsk."
"ammon"," Mongolia, And Tajikistan] Argali [Kyrgyzstan","Threatened","""Habitat in Siberia""; since identified as Kazakhstan, Vostochno-Kazakhstansk. Obl., Altai Mtns, Bukhtarma; near Ust-Kamenogorsk."
"canadensis"," Canada [Contiguous U.S. Dps] Lynx","Threatened","""the interior parts of Canada""; identified as Canada, Alberta, Mountains on Bow River, near Exshaw (Anderson, 1947:184)."
"hodgsonii"," Tibetan Antelope","Endangered","China, Tibet, Kooti Pass in Arrun Valley, Tingri Maiden."
"jentinki"," Jentink'S Duiker","Endangered","""Liberia""; since identified as Junk River opposite Schieffelinsville, Sharp-Hill (Khn, 1965)."
"nasomaculatus","Addax","Endangered","No locality given. Here selected as the Tunisian Sahara."
"dammah"," Scimitar-Horned Oryx","Endangered","Sudan, Northern Kordofan Prov., ""bewohnen die grossen Steppen von Haraza [vicinity of Jebel Haraza]""."
"gazella"," Arabian Gazelle","Endangered","""India""; understood to be South Africa (Thomas, 1911<i>a</i>:152)."
"leucoryx"," Arabian Oryx","Endangered","""Arabiae et forte Lybiae proprium animal""; restricted to Arabia (Lydekker, 1914<i>b</i>:130)."
"leche"," Red Lechwe","Threatened","""Banks of the river Zoaga, lat. 21""; since identified as Botswana, Botletle River, near Lake Ngami (Smithers, 1971:233)."
"mysticetus"," Bowhead Whale","Endangered","""Habitat in Oceano Groenlandico"" (= Greenland Sea)."
"australis"," Southern Right Whale","Endangered","Algoa Bay, Cape of Good Hope, South Africa."
"glacialis"," North Atlantic Right Whale","Endangered","None given, listed as Norway, Finnmark, Nord Kapp (vicinity of North Cape) by Eschricht and Reinhardt (1861)."
"japonica"," North Pacific Right Whale","Endangered","Japan."
"borealis"," Sei Whale","Endangered","Germany, Schleswig-Holstein, Lubeck Bay, near Gromitz (see Rudolphi, 1822)."
"musculus"," Blue Whale","Endangered","UK, Scotland, Firth of Forth (""Habitat in Mari Scotico"")."
"physalus"," Finback Whale","Endangered","""Habitat in Oceano Europeao"", restricted to Norway, near Svalbard, Spitsbergen Sea by Thomas (1911<i>a</i>)."
"novaeangliae"," Humpback [Arabian Sea Dps] Whale","Endangered","USA, ""de la nouvelle Angleterre"" (= coast of New England)."
"novaeangliae"," Humpback [Cape Verde Islands/Northwest Africa Dps] Whale","Endangered","USA, ""de la nouvelle Angleterre"" (= coast of New England)."
"novaeangliae"," Humpback [Central America Dps] Whale","Endangered","USA, ""de la nouvelle Angleterre"" (= coast of New England)."
"novaeangliae"," Humpback [Mexico Dps] Whale","Threatened","USA, ""de la nouvelle Angleterre"" (= coast of New England)."
"novaeangliae"," Humpback [Western North Pacific Dps] Whale","Endangered","USA, ""de la nouvelle Angleterre"" (= coast of New England)."
"robustus"," Gray [Western North Pacific Dps] Whale","Endangered","Sweden, ""p Grsn i Roslagen""; ""Benen lgo 840 fot frn hafsstranden, ungefr 12  15 fot fver hafvets yta"" (= Uppland, Graso Isl)."
"australis"," Southern Right Whale","Endangered","""South Atlantic Ocean, off the coast of Patagonia"", Argentina, 1 days sail north of the Straits of LeMaire."
"borealis"," Sei Whale","Endangered","""North Pacific Ocean, latitude 46 6' 50"" N., 134 5' W. from Greenwich."", 10W of Astoria, Oregon, USA."
"orca"," Killer [Southern Resident Dps] Whale","Endangered","E North Atlantic (""Oceano Europaeo"")."
"crassidens"," False Killer [Main Hawaiian Islands Insular Dps] Whale","Endangered","UK, England, ""in the great fen of Lincolnshire beneath the turf, in the neighborhood of the ancient town of Stamford"". (subfossil)."
"truncatus"," Pink Fairy Armadillo","Endangered","UK, England, Devonshire, ""in Duncannon Pool, near Stoke Gabriel, about five miles up the River Dart""."
"leucas"," Beluga [Cook Inlet Dps] Whale","Endangered","NE Siberia, ""die im Obischen Meerbusen"" (= mouth of Ob River)."
"sinus"," Gulf Of California Harbor (Cochito, Vaquita) Porpoise","Endangered","""from the northeast shore of Punta San Felipe, Baja California Norte, Gulf of California, Mexico""."
"vexillifer"," Chinese River Dolphin","Endangered","""Tung Ting Lake, about 600 miles up the Yangtze River, [Hunan] China""."
"bairdii"," Central American Tapir","Endangered","Russia, Commander Isls, ""found stranded in Stare Gavan, on the eastern shore of Bering Island""."
